country,date,source,generation_gwh
United States,2024-11-01,Oil,4723.851
United States,2024-11-01,Other,69512.963
United States,2024-11-01,Solar,196467.671
United States,2024-11-01,Wind,603444.63
United States,2024-12-01,Coal,962443.57
United States,2024-12-01,Gas,2050757.036
United States,2024-12-01,Geothermal,30.494999999999997
United States,2024-12-01,Hydro,292647.399
United States,2024-12-01,Nuclear,1071913.059
United States,2024-12-01,Oil,8085.456
United States,2024-12-01,Other,62482.358
United States,2024-12-01,Solar,179907.637
United States,2024-12-01,Wind,599988.75
United States,2025-01-01,Coal,1254217.642
United States,2025-01-01,Gas,2216023.054
United States,2025-01-01,Geothermal,4510.26
United States,2025-01-01,Hydro,312963.378
United States,2025-01-01,Nuclear,1082525.358
United States,2025-01-01,Oil,20597.184
United States,2025-01-01,Other,70463.269
United States,2025-01-01,Solar,210920.063
United States,2025-01-01,Wind,639841.569
United States,2025-02-01,Coal,940048.496
United States,2025-02-01,Gas,1854947.341
United States,2025-02-01,Geothermal,3876.267
United States,2025-02-01,Hydro,289268.166
United States,2025-02-01,Nuclear,931029.147
United States,2025-02-01,Oil,7450.572
United States,2025-02-01,Other,59420.995
United States,2025-02-01,Solar,226801.17
United States,2025-02-01,Wind,586246.668
United States,2025-03-01,Coal,753363.689
United States,2025-03-01,Gas,1631434.778
United States,2025-03-01,Geothermal,3964.491
United States,2025-03-01,Hydro,342127.959
United States,2025-03-01,Nuclear,936132.888
United States,2025-03-01,Oil,4167.888
United States,2025-03-01,Other,61402.233
United States,2025-03-01,Solar,318095.171
United States,2025-03-01,Wind,751141.929
United States,2025-04-01,Coal,702141.873
United States,2025-04-01,Gas,1598274.849
United States,2025-04-01,Geothermal,5138.856
United States,2025-04-01,Hydro,351599.94
United States,2025-04-01,Nuclear,872007.765
United States,2025-04-01,Oil,5732.28
United States,2025-04-01,Other,56415.589
United States,2025-04-01,Solar,359915.832
United States,2025-04-01,Wind,690297.822
United States,2025-05-01,Coal,753143.628
United States,2025-05-01,Gas,1886175.741
United States,2025-05-01,Geothermal,5450.892
United States,2025-05-01,Hydro,386399.274
United States,2025-05-01,Nuclear,931665.681
United States,2025-05-01,Oil,5494.434
United States,2025-05-01,Other,55286.649
United States,2025-05-01,Solar,404275.197
United States,2025-05-01,Wind,572629.659
United States,2025-06-01,Coal,992228.088
United States,2025-06-01,Gas,2325654.711
United States,2025-06-01,Geothermal,4974.678
United States,2025-06-01,Hydro,354246.564
United States,2025-06-01,Nuclear,996874.482
United States,2025-06-01,Oil,11689.014
United States,2025-06-01,Other,66436.246
United States,2025-06-01,Solar,430541.346
United States,2025-06-01,Wind,539301.486
United States,2025-07-01,Coal,1241727.894
United States,2025-07-01,Gas,2825324.598
United States,2025-07-01,Geothermal,4424.268
United States,2025-07-01,Hydro,320453.43
United States,2025-07-01,Nuclear,1065112.401
United States,2025-07-01,Oil,17264.163
United States,2025-07-01,Other,80752.309
United States,2025-07-01,Solar,448451.253
United States,2025-07-01,Wind,482115.879
United States,2025-08-01,Coal,1068371.706
United States,2025-08-01,Gas,2729599.398
United States,2025-08-01,Geothermal,4349.727
United States,2025-08-01,Hydro,302497.017
United States,2025-08-01,Nuclear,1064194.413
United States,2025-08-01,Oil,9672.033
United States,2025-08-01,Other,71178.338
United States,2025-08-01,Solar,429161.298
United States,2025-08-01,Wind,414966.669
United States,2025-09-01,Coal,894301.779
United States,2025-09-01,Gas,2364007.146
United States,2025-09-01,Geothermal,4616.298
United States,2025-09-01,Hydro,233509.782
United States,2025-09-01,Nuclear,986710.194
United States,2025-09-01,Oil,7761.666
United States,2025-09-01,Other,61760.512
United States,2025-09-01,Solar,380025.102
United States,2025-09-01,Wind,392251.416
United States,2025-10-01,Coal,825883.545
United States,2025-10-01,Gas,2010525.624
United States,2025-10-01,Geothermal,5365.734
United States,2025-10-01,Hydro,227345.895
United States,2025-10-01,Nuclear,892889.805
United States,2025-10-01,Oil,6965.511
United States,2025-10-01,Other,68320.945
United States,2025-10-01,Solar,337875.594
United States,2025-10-01,Wind,583555.62
United States,2025-11-01,Coal,361958.694
United States,2025-11-01,Gas,839128.296
United States,2025-11-01,Geothermal,4849.761
United States,2025-11-01,Hydro,193375.704
United States,2025-11-01,Nuclear,383800.338
United States,2025-11-01,Oil,2836.776
United States,2025-11-01,Other,35450.082
United States,2025-11-01,Solar,150981.729
United States,2025-11-01,Wind,310886.178
United States,2025-12-01,Coal,556619.025
United States,2025-12-01,Gas,1147474.875
United States,2025-12-01,Geothermal,8130.18
United States,2025-12-01,Hydro,276013.521
United States,2025-12-01,Nuclear,571620.57
United States,2025-12-01,Oil,6530.367
United States,2025-12-01,Other,45094.598
United States,2025-12-01,Solar,141627.336
United States,2025-12-01,Wind,430280.175
